YR MO DY HRMN SEC LATITUDE LONGITUDE DEPTH MAG FAMILY
1998 8 27 1032 45.02 34.38304 -116.45772 7.614 2.56 1590
1998 8 28 1013 1.28 37.4405 -118.7865 3.56 2.84 NaN
1998 8 28 2156 1.17 33.31671 -118.31791 2.278 2.71 NaN
1998 8 29 0158 59.4 34.3584 -116.42536 11.812 2.55 NaN
1998 8 29 1321 58.19 32.00183 -115.78 5.51 2.51 NaN
1998 8 30 1535 9.01 37.3925 -118.58983 0.63 2.59 NaN
1998 8 30 2301 22.33 35.14641 -117.35253 12.419 2.98 NaN
1998 8 31 0008 3.32 34.1168 -116.91891 5.988 3.1 1616
1998 8 31 2340 24.87 37.0555 -118.95067 9.73 2.6 NaN
1998 9 1 1844 9.09 37.48467 -118.80483 3.38 2.53 NaN
1998 9 1 2246 13.44 37.49123 -118.88875 4.118 2.62 NaN
1998 9 2 0354 59.42 31.744 -116.022 -0.34 2.64 NaN
1998 9 3 0030 47.05 34.11864 -116.92434 6.838 2.79 1616
1998 9 3 0809 7.72 32.26832 -115.11375 15.054 3.01 NaN
1998 9 3 1047 46.24 33.95234 -118.31161 16.013 2.61 NaN
1998 9 4 0627 38.95 34.99195 -116.94418 8 2.6 NaN
1998 9 4 1256 41.07 34.1157 -116.918 6.047 2.5 1616
1998 9 5 2221 45.78 34.12552 -116.92664 6.099 2.73 1616
1998 9 6 0734 45.69 35.77267 -121.544 -0.74 2.8 NaN
1998 9 6 2249 51.13 36.35633 -119.7975 10.52 2.83 NaN
1998 9 7 1457 12.08 36.51083 -120.70617 8.88 2.66 NaN
1998 9 8 2317 35.97 33.222 -116.66683 13.28 2.56 NaN
1998 9 9 1943 31.01 33.93137 -116.78739 8.523 2.78 NaN
1998 9 10 0939 41.68 36.04856 -117.64985 2.465 2.71 NaN
1998 9 10 1543 9.8 33.29037 -116.19782 6.545 3.16 NaN
1998 9 11 1050 28.11 32.91403 -118.46432 11.322 2.61 1606
1998 9 11 1438 43.24 37.39582 -118.68917 11.6 4 1619
1998 9 11 2218 2.6 32.1635 -115.80583 5.18 2.59 NaN
1998 9 12 0053 57.92 37.30667 -118.3685 -1.94 2.8 NaN
1998 9 13 0520 31.4 32.02167 -115.72867 8.04 2.68 NaN
1998 9 13 1503 30.39 35.95849 -117.31027 5.412 2.69 NaN
1998 9 13 1526 59.79 37.3793 -118.70019 5.161 2.96 1619
1998 9 13 1711 29.76 36.17067 -119.9825 10.8 2.82 NaN
1998 9 14 1604 19.64 31.91127 -116.28099 4.028 2.72 NaN
1998 9 14 2105 50.19 35.7186 -116.54302 5.719 2.64 NaN
1998 9 15 0256 38.23 32.4685 -119.378 15.57 2.56 NaN
1998 9 16 0435 47.05 33.47075 -116.5621 10.105 2.67 NaN
1998 9 16 0900 45.11 35.95219 -120.52042 5.105 3.38 1620
1998 9 16 1609 30.51 35.95371 -120.52238 4.882 3.36 1620
1998 9 16 1617 30.37 35.95352 -120.52341 4.038 2.95 1620
1998 9 17 1542 59.2 35.9599 -120.52803 5.553 2.99 1620
1998 9 19 0743 16.2 35.68994 -119.88254 10.203 2.55 1621
1998 9 19 0949 18.36 32.46975 -115.4204 11.482 2.7 NaN
1998 9 19 0951 58.31 35.69019 -119.88381 10.223 2.57 1621
1998 9 19 1327 19.03 35.69015 -119.88508 10.381 2.53 1621
1998 9 19 2307 30.27 31.79817 -116.00117 2.83 2.61 NaN
1998 9 20 1150 55.35 36.17085 -120.73623 8.471 3.01 NaN
1998 9 21 0238 8.79 35.76767 -121.32 2.45 3.11 NaN
1998 9 21 1333 31.99 32.6325 -118.08417 13 2.8 NaN
1998 9 23 0628 14.67 36.98183 -117.58033 29.31 2.74 NaN
1998 9 23 1534 8.97 34.37435 -117.65371 9.131 2.65 1618
1998 9 23 2147 14.19 34.11539 -116.91821 5.174 2.52 1616
1998 9 24 0358 53.01 36.71575 -118.09671 3.782 2.62 NaN
1998 9 24 1141 42.27 34.116 -118.58733 5.67 2.58 NaN
1998 9 25 0224 34.52 33.72317 -116.82764 16.728 2.5 NaN
1998 9 26 1325 11.5 33.99275 -116.77941 16.536 2.53 NaN
1998 9 26 1630 35.9 34.48468 -116.49465 6.701 2.74 NaN
1998 9 27 1204 41.26 32.10602 -115.6627 12.939 2.97 NaN
1998 9 27 1801 24.15 35.781 -121.38833 4.55 2.79 NaN
1998 9 29 0646 54.15 35.8033 -118.49528 4.782 2.7 NaN
1998 9 29 0934 51.95 34.7595 -116.58783 8.92 2.5 NaN
1998 9 30 0146 14.98 32.13485 -115.40737 3.009 2.66 NaN
1998 9 30 0350 37.86 34.05367 -117.55862 13.694 2.69 NaN
1998 9 30 1859 42.61 32.78576 -115.44974 8.273 3.06 NaN
1998 10 1 0014 59.15 31.83183 -115.8795 4.35 2.5 NaN
1998 10 1 0258 7.23 34.30398 -116.92365 4.189 2.5 1622
1998 10 1 1023 1.02 34.52833 -120.84917 5.84 2.58 NaN
1998 10 1 1359 42.69 34.3137 -116.91863 7.225 3.37 1622
1998 10 1 1818 16.15 34.11564 -116.9169 6.824 4.63 1616
1998 10 1 2028 48.05 32.67151 -115.98521 9.264 2.98 1623
1998 10 2 1921 19.09 34.67683 -121.59083 22.83 3.05 NaN
1998 10 2 2041 24.79 32.67089 -115.98521 9.352 2.73 1623
1998 10 3 0004 22.33 34.46458 -117.9378 8.868 3.11 NaN
1998 10 3 1054 1.99 34.05784 -117.27291 11.767 2.57 NaN
1998 10 3 1234 1.85 34.17088 -116.433 5.968 2.96 1216
1998 10 4 0136 28.25 31.3945 -115.65633 -0.19 2.8 NaN
1998 10 4 1316 41.54 33.42078 -116.36933 13.214 2.75 NaN
1998 10 4 1338 51.6 31.36767 -115.4255 0.32 2.84 NaN
1998 10 5 1150 58.46 33.21363 -116.0493 10.01 2.5 NaN
1998 10 10 2051 1.58 35.3845 -121.37967 2.86 3.15 NaN
1998 10 11 1744 27.98 33.18926 -115.56928 3.832 2.97 1624
1998 10 11 2121 23.75 34.61537 -116.63201 6.354 2.78 NaN
1998 10 14 1437 4.4 32.40417 -115.23983 14.62 3.81 NaN
1998 10 15 1646 23.58 33.17625 -115.61011 2.794 2.59 1479
1998 10 15 1759 44.2 32.79527 -115.45038 9.732 2.59 1625
1998 10 15 2006 1.11 32.79458 -115.44965 9.618 3.05 1625
1998 10 15 2038 17.5 32.79919 -115.45385 9.566 2.67 1625
1998 10 15 2047 52.87 32.80065 -115.45524 9.531 2.6 1625
1998 10 16 0148 11.43 34.80673 -120.36506 4.156 2.94 NaN
1998 10 16 0225 45.82 32.79139 -115.44712 10.013 2.57 1625
1998 10 17 0218 7.71 32.06708 -115.41717 12.304 2.66 1626
1998 10 18 0600 43.38 34.23506 -116.75943 8.666 2.69 1627
1998 10 18 0620 43.43 34.23568 -116.75995 8.459 2.61 1627
1998 10 18 0634 38.95 32.06956 -115.41909 9.455 2.72 1626
1998 10 18 1821 46.03 32.06946 -115.4192 9.761 3.12 1626
1998 10 18 1938 31.48 32.06946 -115.41871 9.771 3.57 1626
1998 10 19 0203 17.77 34.29966 -118.4888 8.809 2.56 NaN
1998 10 19 0359 29.77 32.067 -115.41776 12.024 2.82 1626
1998 10 19 0606 14.6 32.06946 -115.4208 9.445 3.51 1626
1998 10 19 1824 39.32 33.18996 -115.57002 4.175 2.51 1624
1998 10 19 2118 42.64 32.06639 -115.418 9.756 3.2 1626
1998 10 20 0005 52.18 32.06779 -115.4176 11.98 2.76 1626
1998 10 20 0248 59.11 32.06783 -115.408 12.63 4.17 1626
1998 10 20 0253 6.89 32.06569 -115.41759 9.328 3.71 1626
1998 10 20 0621 33.53 32.12167 -115.41517 8.81 2.59 1626
1998 10 20 0652 50.15 32.06296 -115.41466 9.964 2.73 1626
1998 10 20 0756 21.06 32.70974 -115.39749 9.348 2.74 NaN
1998 10 20 0925 23.64 31.83933 -115.68367 3.04 3.82 1628
1998 10 20 0933 18.96 32.0425 -115.78233 5.37 2.5 1628
1998 10 20 2248 36.87 32.06342 -115.41478 9.425 3.1 1626
1998 10 20 2314 20.42 32.11419 -115.43484 18.504 3.74 1626
1998 10 20 2328 5.88 32.07206 -115.42195 9.74 3.06 1626
1998 10 21 0049 0.48 32.07234 -115.42207 9.984 2.75 1626
1998 10 21 0527 2.01 35.63867 -120.95017 6.77 3.22 NaN
1998 10 21 0738 25.8 31.99738 -115.77442 5.911 2.62 NaN
1998 10 21 0856 19.89 34.94262 -116.66397 7.325 3.07 NaN
1998 10 21 1134 33.6 32.07477 -115.42264 10.664 2.55 1626
1998 10 21 1228 37.77 32.06795 -115.41756 11.357 2.58 1626
1998 10 21 1258 0.99 34.36348 -118.61616 9.772 2.59 NaN
1998 10 21 1354 43.14 32.11139 -115.4308 18.611 3.22 1626
1998 10 22 0041 36.87 33.20776 -116.40743 13.36 2.58 NaN
1998 10 22 0508 37.31 32.07324 -115.42305 7.274 2.63 1626
1998 10 22 0516 48.34 32.03168 -116.29954 10.948 2.96 NaN
1998 10 22 0821 49.06 32.07268 -115.42306 7.488 2.59 1626
1998 10 22 1106 21.71 31.90317 -115.39467 8.62 3.19 NaN
1998 10 23 0844 51.44 33.15151 -115.64488 2.473 2.76 NaN
1998 10 23 1556 2.44 32.06107 -115.41964 10.268 2.5 1626
1998 10 25 0913 18.16 32.02167 -115.42911 8.803 2.56 NaN
1998 10 25 0916 19.16 32.06107 -115.41976 10.426 2.6 1626
1998 10 25 1140 49 33.9764 -117.1678 14.581 3.01 NaN
1998 10 25 1154 6.54 31.92567 -115.39883 6.67 2.89 NaN
1998 10 25 2056 32.28 32.0475 -115.474 16.3 2.61 NaN
1998 10 26 0000 20.09 31.90196 -115.83727 5.203 2.73 1629
